name,sector,description,hardcap,team_doxxed,mvp_status,mvp_category,keywords,current_status_2024,notes
BattleArena,Gaming,PvP арена с NFT-персонажами и турнирами на крупные призы. Механика стейкинга для участия в управлении. Кроссплатформенная поддержка.,60000,False,Нет,no_mvp,"['NFT', 'стейкинг']",Провал,"Сайт и соцсети неактивны с 2018 года. Сбор составил менее 20% от 60,000 ETH."
OracleLink,Infrastructure,"Децентрализованный оракул для безопасной передачи оффчейн данных в смарт-контракты. Решаем проблему надежности данных через механизм стохастической выборки. Партнерства с крупными DeFi-проектами уже заключены. Команда публична, включает PhD в компьютерных науках.",75000,True,Рабочий прототип,working_prototype,"['смарт-контракт', 'децентрализован', 'DeFi', 'безопасн', 'оракул']",Успех,Токен торгуется на биржах 2-го тира. TVL превышает $10M.
PayMentor,Payments,"Глобальная платежная система с нулевыми комиссиями и мгновенными транзакциями. Используем собственный блокчейн с поддержкой смарт-контрактов. Планируем выпуск криптодебетовых карт. Команда анонимна, обещает революцию в международных переводах.",150000,False,Нет,no_mvp,"['смарт-контракт', 'блокчейн', 'анонимн', 'крипто']",Провал,"Сайт и соцсети неактивны с 2018 года. Сбор составил менее 20% от 150,000 ETH."
PrivacyProtocol,Infrastructure,Протокол для приватных транзакций с нулевым разглашением данных. Совместимость с основными блокчейнами. Аудит от ведущих security компаний.,95000,True,Testnet,testnet,['блокчейн'],Полуактивен,"Токен есть на DEX, но объемы near zero. Последний коммит 2+ года назад."
PodcastNetwork,Social,Децентрализованная платформа для подкастеров с монетизацией через слушателей. NFT-подписки на эксклюзивный контент.,35000,False,Нет,no_mvp,"['децентрализован', 'NFT']",Провал,Проект признан скамом сообществом. Whitepaper содержал плагиат.
SubscriptionPay,Payments,Система рекуррентных платежей для подписочных сервисов. Гибкие условия биллинга. Поддержка всех популярных платежных методов.,50000,True,Рабочий прототип,working_prototype,[],Успех,Токен торгуется на биржах 2-го тира. TVL превышает $10M.
LiquidityMining,DeFi,Платформа для автоматического фарминга ликвидности с ребалансировкой. AI-оптимизация доходности. Страхование импераментных потерь.,85000,True,Testnet,testnet,[],Полуактивен,"Токен есть на DEX, но объемы near zero. Последний коммит 2+ года назад."
B2BPayments,Payments,Платформа для B2B платежей с отсрочкой и факторингом. Смарт-контракты для автоматизации расчетов. Поддержка 100+ юрисдикций.,120000,True,Testnet,testnet,['смарт-контракт'],Полуактивен,Основной продукт не запущен. Команда переключилась на консалтинг.
DomainMarket,Marketplace,Торговая площадка для доменных имен в блокчейн-пространстве. Система оценки и аукционы. Поддержка всех популярных NFT-стандартов.,30000,True,Рабочий прототип,working_prototype,"['блокчейн', 'NFT']",Успех,Проект получил дополнительное финансирование от венчурных фондов.
PredictionMarket,DeFi,Децентрализованный рынок предсказаний на политические и спортивные события. Механизмы честного ценообразования. Анонимность участников.,55000,True,Testnet,testnet,"['децентрализован', 'анонимн']",Полуактивен,Основной продукт не запущен. Команда переключилась на консалтинг.
FashionMarket,Marketplace,NFT-маркетплейс для цифровой моды и одежды в метавселенных. Партнерства с брендами одежды. AR-примерочная.,55000,True,Рабочий прототип,working_prototype,['NFT'],Успех,Токен торгуется на биржах 2-го тира. TVL превышает $10M.
RemittancePro,Payments,Специализированное решение для денежных переводов мигрантов. Партнерства с банками в Азии и Африке. Комиссии в 5 раз ниже Western Union.,90000,True,Рабочий прототип,working_prototype,[],Успех,Токен торгуется на биржах 2-го тира. TVL превышает $10M.
SupplyChainPro,Infrastructure,Блокчейн-решение для отслеживания цепочек поставок с полной прозрачностью. Особый акцент на пищевую промышленность и логистику. Партнерства с крупными ритейлерами уже в процессе.,110000,True,Testnet,testnet,"['блокчейн', 'прозрачн']",Полуактивен,Цена токена упала на 99% от ATH. Сетевая активность минимальна.
StrategyGame,Gaming,Браузерная стратегия с экономикой на блокчейне. Игроки строят империи и торгуют ресурсами. Сезонные турниры с крупными призами.,55000,False,Нет,no_mvp,['блокчейн'],Провал,Токен не был выпущен. Команда удалила все онлайн-профили.
CharityPlatform,Payments,Платформа для благотворительных пожертвований с полной прозрачностью. Отслеживание использования средств. Нулевые комиссии для доноров.,25000,True,Рабочий прототип,working_prototype,['прозрачн'],Успех,Проект получил дополнительное финансирование от венчурных фондов.
DataVault,Storage,"Децентрализованное облачное хранилище с шифрованием на стороне клиента. Конкурируем с централизованными провайдерами по цене и надежности. Используем технологию sharding для масштабируемости. Команда публична, имеет опыт в distributed systems.",90000,True,Testnet,testnet,"['децентрализован', 'масштабируем']",Полуактивен,Цена токена упала на 99% от ATH. Сетевая активность минимальна.
VideoPlatform,Social,Децентрализованный аналог YouTube с монетизацией через просмотры и донаты. Контент хранится в IPFS. Система модерации сообществом.,75000,False,Нет,no_mvp,['децентрализован'],Провал,Проект признан скамом сообществом. Whitepaper содержал плагиат.
ColdStorage,Storage,Решение для холодного хранения криптоактивов с мультисигнатурой. Аппаратные ключи и биометрическая аутентификация. Страхование активов.,70000,True,Рабочий прототип,working_prototype,['крипто'],Успех,Протокол активно используется. Команда продолжает разработку.
SocialChain,Social,"Децентрализованная социальная сеть с монетизацией контента через криптовалюту. Пользователи получают токены за создание вирального контента. Без цензуры и с полным контролем над данными. Команда анонимна, ссылается на опыт в медиа-проектах.",55000,False,Нет,no_mvp,"['децентрализован', 'токен', 'анонимн', 'крипто']",Провал,"Сайт и соцсети неактивны с 2018 года. Сбор составил менее 20% от 55,000 ETH."
LegalStorage,Storage,Хранение юридических документов с временными метками. Юридическая сила в 150+ странах. Интеграция с судебными системами.,85000,True,Testnet,testnet,[],Полуактивен,Цена токена упала на 99% от ATH. Сетевая активность минимальна.
VirtualWorld,Gaming,Метавселенная с пользовательским контентом и экономикой собственности. Инструменты для создания миров. VR-поддержка.,180000,False,Нет,no_mvp,['метавселенная'],Провал,Проект признан скамом сообществом. Whitepaper содержал плагиат.
InstantPay,Payments,Мгновенные международные переводы с фиатными шлюзами. Поддержка 50+ валют. Мобильное приложение с биометрической аутентификацией. Лицензии на работу в ЕС и США в процессе получения.,150000,True,Testnet,testnet,[],Полуактивен,"Токен есть на DEX, но объемы near zero. Последний коммит 2+ года назад."
CrossChainSwap,Infrastructure,Агрегатор для кросс-чейн свопов с лучшими ценами. Поддержка 25+ блокчейнов. Мгновенное исполнение сделок.,95000,True,Рабочий прототип,working_prototype,"['блокчейн', 'кросс-чейн']",Успех,Протокол активно используется. Команда продолжает разработку.
EcommercePay,Payments,Платежное решение для интернет-магазинов с приемом криптовалют. Автоматическая конвертация в фиат. Плагины для популярных CMS.,65000,True,Рабочий прототип,working_prototype,['крипто'],Успех,Протокол активно используется. Команда продолжает разработку.
MicroPayment,Payments,Система микроплатежей для контент-мейкеров и блогеров. Интеграция с социальными сетями. Комиссия 0.1% за транзакцию.,35000,False,Нет,no_mvp,[],Провал,Токен не был выпущен. Команда удалила все онлайн-профили.
EtherLotty,Gaming,"Децентрализованная платформа для азартных игр на блокчейне Ethereum. Гарантируем полную прозрачность и проверяемую честность через смарт-контракты. Мгновенные выплаты и комиссии ниже рыночных. В дорожной карте - запуск NFT-коллекции игровых предметов. Команда анонимна, но имеет опыт в геймдеве.",45000,False,Нет,no_mvp,"['смарт-контракт', 'децентрализован', 'блокчейн', 'NFT', 'прозрачн', 'анонимн', 'Ethereum']",Провал,Проект признан скамом сообществом. Whitepaper содержал плагиат.
YieldOptimizer,DeFi,Автоматический агрегатор доходности для криптоактивов. AI-алгоритмы для ребалансировки портфеля. Интеграция с 20+ DeFi-протоколами. Команда с опытом в quantitative finance.,85000,True,Рабочий прототип,working_prototype,"['DeFi', 'крипто']",Успех,Протокол активно используется. Команда продолжает разработку.
SecureCloud,Storage,Децентрализованное хранилище с военным уровнем шифрования. Хранение данных с избыточностью 5x. Экономия до 70% по сравнению с AWS. Команда бывшие сотрудники крупных IT-компаний.,70000,True,Рабочий прототип,working_prototype,['децентрализован'],Успех,Проект получил дополнительное финансирование от венчурных фондов.
MetaSocial,Social,Социальная платформа для метавселенной с VR-интеграцией. Пользователи создают аватары и взаимодействуют в виртуальных пространствах. Монетизация через продажу виртуальной недвижимости и предметов.,95000,False,Нет,no_mvp,[],Провал,"Сайт и соцсети неактивны с 2018 года. Сбор составил менее 20% от 95,000 ETH."
RealEstateMarket,Marketplace,Токенизация недвижимости и торговля фракционным владением. Юридическое сопровождение сделок. Партнерства с риелторскими компаниями.,200000,True,Нет,no_mvp,['токен'],Полуактивен,"Токен есть на DEX, но объемы near zero. Последний коммит 2+ года назад."
CrossChainDex,DeFi,"Первый DEX с нативной поддержкой 10+ блокчейнов без обернутых токенов. Используем инновационный мостовой протокол собственной разработки. Уже есть работающий прототип с поддержкой Ethereum, BSC и Polygon.",180000,True,Рабочий прототип,working_prototype,"['блокчейн', 'токен', 'Ethereum']",Успех,Токен торгуется на биржах 2-го тира. TVL превышает $10M.
ArtMarketplace,Marketplace,Платформа для цифровых художников с фокусом на AI-генерацию искусства. Инструменты для создания и продажи NFT. Партнерства с арт-галереями.,45000,True,Нет,no_mvp,['NFT'],Полуактивен,Основной продукт не запущен. Команда переключилась на консалтинг.
VideoStorage,Storage,Специализированное хранилище для видео контента с CDN. Поддержка 4K и стриминга. Оптимизация для больших файлов.,95000,True,Testnet,testnet,[],Полуактивен,Цена токена упала на 99% от ATH. Сетевая активность минимальна.
CryptoInsurance,DeFi,Децентрализованная платформа страхования криптоактивов от хакерских атак и сбоев смарт-контрактов. Используем механизм пулов ликвидности для выплат. Партнерства с аудиторскими компаниями. Команда имеет опыт в традиционном страховании.,80000,True,Testnet,testnet,"['смарт-контракт', 'децентрализован', 'крипто']",Полуактивен,Основной продукт не запущен. Команда переключилась на консалтинг.
MedicalStorage,Storage,Безопасное хранение медицинских записей с доступом по разрешениям. Соответствие HIPAA. Интеграция с медицинскими учреждениями.,65000,True,Нет,no_mvp,['безопасн'],Полуактивен,"Токен есть на DEX, но объемы near zero. Последний коммит 2+ года назад."
PhotoSharing,Social,Децентрализованный аналог Instagram с монетизацией через лайки и репосты. NFT-коллекции фотографий. AR-фильтры.,50000,False,Нет,no_mvp,"['децентрализован', 'NFT']",Провал,"Сайт и соцсети неактивны с 2018 года. Сбор составил менее 20% от 50,000 ETH."
CardGame,Gaming,Коллекционная карточная игра с турнирами и стейкингом. Уникальные механики сжигания токенов. Серии карт с ограниченным тиражом.,45000,False,Нет,no_mvp,"['токен', 'стейкинг']",Провал,Токен не был выпущен. Команда удалила все онлайн-профили.
MusicPlatform,Social,Децентрализованная платформа для музыкантов с прямой монетизацией. NFT-альбомы и эксклюзивный контент. Прозрачные роялти.,60000,False,Нет,no_mvp,"['децентрализован', 'NFT', 'прозрачн']",Провал,"Сайт и соцсети неактивны с 2018 года. Сбор составил менее 20% от 60,000 ETH."
InteroperabilityBridge,Infrastructure,Мостовое решение для связи 15+ блокчейнов. Безопасные кросс-чейн транзакции. Поддержка передачи любых данных.,140000,True,Testnet,testnet,"['блокчейн', 'безопасн', 'кросс-чейн']",Полуактивен,"Токен есть на DEX, но объемы near zero. Последний коммит 2+ года назад."
InsurancePool,DeFi,Децентрализованный пул страхования DeFi-протоколов. Динамическое ценообразование. Выплаты в течение 24 часов.,90000,True,Testnet,testnet,"['децентрализован', 'DeFi']",Полуактивен,"Токен есть на DEX, но объемы near zero. Последний коммит 2+ года назад."
GameFiWorld,Gaming,Метавселенная с играми Play-to-Earn и возможностью заработка NFT. Интеграция с основными блокчейнами. Собственная студия разработки игр. Дорожная карта на 3 года.,95000,False,Нет,no_mvp,"['блокчейн', 'NFT', 'метавселенная']",Провал,Проект признан скамом сообществом. Whitepaper содержал плагиат.
BackupSolution,Storage,Автоматическое резервное копирование данных в децентрализованное хранилище. Планировщик и версионность. Шифрование на лету.,45000,True,Testnet,testnet,['децентрализован'],Полуактивен,"Токен есть на DEX, но объемы near zero. Последний коммит 2+ года назад."
OracleNetwork,Infrastructure,Децентрализованная сеть оракулов с механизмом стохастической выборки. Гарантия достоверности данных. Низкие задержки.,80000,True,Рабочий прототип,working_prototype,"['децентрализован', 'оракул']",Успех,Проект получил дополнительное финансирование от венчурных фондов.
NFTMarketGo,Marketplace,"P2P площадка для торговли NFT с продвинутыми инструментами оценки редкости. Уникальный алгоритм определения fair price и низкие комиссии 0.5%. Интеграция с основными кошельками и блокчейнами. Команда публична, включает известных NFT-художников.",60000,True,Рабочий прототип,working_prototype,"['блокчейн', 'NFT']",Успех,Протокол активно используется. Команда продолжает разработку.
RacingGame,Gaming,NFT-гонки с кастомизируемыми автомобилями. Заработок токенов за победы в заездах. Регулярные обновления трасс и машин.,65000,False,Нет,no_mvp,"['NFT', 'токен']",Провал,Проект признан скамом сообществом. Whitepaper содержал плагиат.
ScalabilityChain,Infrastructure,"Layer-2 решение для масштабирования Ethereum с уникальным консенсусным механизмом. Скорость до 10,000 TPS. Совместимость с EVM. Команда включает исследователей из топ-вузов.",120000,True,Рабочий прототип,working_prototype,"['Ethereum', 'Layer-2']",Успех,Токен торгуется на биржах 2-го тира. TVL превышает $10M.
RPGUniverse,Gaming,MMORPG с открытым миром и экономикой на блокчейне. Игроки владеют землей и ресурсами. Сложная система крафта и торговли.,130000,False,Нет,no_mvp,['блокчейн'],Провал,Токен не был выпущен. Команда удалила все онлайн-профили.
ArchiveNetwork,Storage,Долгосрочное архивное хранение данных с гарантией 99.999% доступности. Специализация на юридических и медицинских записях. Соответствие GDPR.,110000,True,Testnet,testnet,[],Полуактивен,"Токен есть на DEX, но объемы near zero. Последний коммит 2+ года назад."
