name,sector,description,hardcap,team_doxxed,mvp_status,mvp_category
OracleLink,Infrastructure,"Децентрализованный оракул для безопасной передачи оффчейн данных в смарт-контракты. Решаем проблему надежности данных через механизм стохастической выборки. Партнерства с крупными DeFi-проектами уже заключены. Команда публична, включает PhD в компьютерных науках.",75000,True,Рабочий прототип,working_prototype
PayMentor,Payments,"Глобальная платежная система с нулевыми комиссиями и мгновенными транзакциями. Используем собственный блокчейн с поддержкой смарт-контрактов. Планируем выпуск криптодебетовых карт. Команда анонимна, обещает революцию в международных переводах.",150000,False,Нет,no_mvp
PrivacyProtocol,Infrastructure,Протокол для приватных транзакций с нулевым разглашением данных. Совместимость с основными блокчейнами. Аудит от ведущих security компаний.,95000,True,Testnet,testnet
PodcastNetwork,Social,Децентрализованная платформа для подкастеров с монетизацией через слушателей. NFT-подписки на эксклюзивный контент.,35000,False,Нет,no_mvp
SubscriptionPay,Payments,Система рекуррентных платежей для подписочных сервисов. Гибкие условия биллинга. Поддержка всех популярных платежных методов.,50000,True,Рабочий прототип,working_prototype
LiquidityMining,DeFi,Платформа для автоматического фарминга ликвидности с ребалансировкой. AI-оптимизация доходности. Страхование импераментных потерь.,85000,True,Testnet,testnet
B2BPayments,Payments,Платформа для B2B платежей с отсрочкой и факторингом. Смарт-контракты для автоматизации расчетов. Поддержка 100+ юрисдикций.,120000,True,Testnet,testnet
DomainMarket,Marketplace,Торговая площадка для доменных имен в блокчейн-пространстве. Система оценки и аукционы. Поддержка всех популярных NFT-стандартов.,30000,True,Рабочий прототип,working_prototype
PredictionMarket,DeFi,Децентрализованный рынок предсказаний на политические и спортивные события. Механизмы честного ценообразования. Анонимность участников.,55000,True,Testnet,testnet
FashionMarket,Marketplace,NFT-маркетплейс для цифровой моды и одежды в метавселенных. Партнерства с брендами одежды. AR-примерочная.,55000,True,Рабочий прототип,working_prototype
RemittancePro,Payments,Специализированное решение для денежных переводов мигрантов. Партнерства с банками в Азии и Африке. Комиссии в 5 раз ниже Western Union.,90000,True,Рабочий прототип,working_prototype
SupplyChainPro,Infrastructure,Блокчейн-решение для отслеживания цепочек поставок с полной прозрачностью. Особый акцент на пищевую промышленность и логистику. Партнерства с крупными ритейлерами уже в процессе.,110000,True,Testnet,testnet
StrategyGame,Gaming,Браузерная стратегия с экономикой на блокчейне. Игроки строят империи и торгуют ресурсами. Сезонные турниры с крупными призами.,55000,False,Нет,no_mvp
CharityPlatform,Payments,Платформа для благотворительных пожертвований с полной прозрачностью. Отслеживание использования средств. Нулевые комиссии для доноров.,25000,True,Рабочий прототип,working_prototype
DataVault,Storage,"Децентрализованное облачное хранилище с шифрованием на стороне клиента. Конкурируем с централизованными провайдерами по цене и надежности. Используем технологию sharding для масштабируемости. Команда публична, имеет опыт в distributed systems.",90000,True,Testnet,testnet
VideoPlatform,Social,Децентрализованный аналог YouTube с монетизацией через просмотры и донаты. Контент хранится в IPFS. Система модерации сообществом.,75000,False,Нет,no_mvp
ColdStorage,Storage,Решение для холодного хранения криптоактивов с мультисигнатурой. Аппаратные ключи и биометрическая аутентификация. Страхование активов.,70000,True,Рабочий прототип,working_prototype
SocialChain,Social,"Децентрализованная социальная сеть с монетизацией контента через криптовалюту. Пользователи получают токены за создание вирального контента. Без цензуры и с полным контролем над данными. Команда анонимна, ссылается на опыт в медиа-проектах.",55000,False,Нет,no_mvp
LegalStorage,Storage,Хранение юридических документов с временными метками. Юридическая сила в 150+ странах. Интеграция с судебными системами.,85000,True,Testnet,testnet
VirtualWorld,Gaming,Метавселенная с пользовательским контентом и экономикой собственности. Инструменты для создания миров. VR-поддержка.,180000,False,Нет,no_mvp
InstantPay,Payments,Мгновенные международные переводы с фиатными шлюзами. Поддержка 50+ валют. Мобильное приложение с биометрической аутентификацией. Лицензии на работу в ЕС и США в процессе получения.,150000,True,Testnet,testnet
CrossChainSwap,Infrastructure,Агрегатор для кросс-чейн свопов с лучшими ценами. Поддержка 25+ блокчейнов. Мгновенное исполнение сделок.,95000,True,Рабочий прототип,working_prototype
EcommercePay,Payments,Платежное решение для интернет-магазинов с приемом криптовалют. Автоматическая конвертация в фиат. Плагины для популярных CMS.,65000,True,Рабочий прототип,working_prototype
MicroPayment,Payments,Система микроплатежей для контент-мейкеров и блогеров. Интеграция с социальными сетями. Комиссия 0.1% за транзакцию.,35000,False,Нет,no_mvp
EtherLotty,Gaming,"Децентрализованная платформа для азартных игр на блокчейне Ethereum. Гарантируем полную прозрачность и проверяемую честность через смарт-контракты. Мгновенные выплаты и комиссии ниже рыночных. В дорожной карте - запуск NFT-коллекции игровых предметов. Команда анонимна, но имеет опыт в геймдеве.",45000,False,Нет,no_mvp
YieldOptimizer,DeFi,Автоматический агрегатор доходности для криптоактивов. AI-алгоритмы для ребалансировки портфеля. Интеграция с 20+ DeFi-протоколами. Команда с опытом в quantitative finance.,85000,True,Рабочий прототип,working_prototype
SecureCloud,Storage,Децентрализованное хранилище с военным уровнем шифрования. Хранение данных с избыточностью 5x. Экономия до 70% по сравнению с AWS. Команда бывшие сотрудники крупных IT-компаний.,70000,True,Рабочий прототип,working_prototype
MetaSocial,Social,Социальная платформа для метавселенной с VR-интеграцией. Пользователи создают аватары и взаимодействуют в виртуальных пространствах. Монетизация через продажу виртуальной недвижимости и предметов.,95000,False,Нет,no_mvp
RealEstateMarket,Marketplace,Токенизация недвижимости и торговля фракционным владением. Юридическое сопровождение сделок. Партнерства с риелторскими компаниями.,200000,True,Нет,no_mvp
CrossChainDex,DeFi,"Первый DEX с нативной поддержкой 10+ блокчейнов без обернутых токенов. Используем инновационный мостовой протокол собственной разработки. Уже есть работающий прототип с поддержкой Ethereum, BSC и Polygon.",180000,True,Рабочий прототип,working_prototype
ArtMarketplace,Marketplace,Платформа для цифровых художников с фокусом на AI-генерацию искусства. Инструменты для создания и продажи NFT. Партнерства с арт-галереями.,45000,True,Нет,no_mvp
VideoStorage,Storage,Специализированное хранилище для видео контента с CDN. Поддержка 4K и стриминга. Оптимизация для больших файлов.,95000,True,Testnet,testnet
CryptoInsurance,DeFi,Децентрализованная платформа страхования криптоактивов от хакерских атак и сбоев смарт-контрактов. Используем механизм пулов ликвидности для выплат. Партнерства с аудиторскими компаниями. Команда имеет опыт в традиционном страховании.,80000,True,Testnet,testnet
MedicalStorage,Storage,Безопасное хранение медицинских записей с доступом по разрешениям. Соответствие HIPAA. Интеграция с медицинскими учреждениями.,65000,True,Нет,no_mvp
PhotoSharing,Social,Децентрализованный аналог Instagram с монетизацией через лайки и репосты. NFT-коллекции фотографий. AR-фильтры.,50000,False,Нет,no_mvp
CardGame,Gaming,Коллекционная карточная игра с турнирами и стейкингом. Уникальные механики сжигания токенов. Серии карт с ограниченным тиражом.,45000,False,Нет,no_mvp
MusicPlatform,Social,Децентрализованная платформа для музыкантов с прямой монетизацией. NFT-альбомы и эксклюзивный контент. Прозрачные роялти.,60000,False,Нет,no_mvp
InteroperabilityBridge,Infrastructure,Мостовое решение для связи 15+ блокчейнов. Безопасные кросс-чейн транзакции. Поддержка передачи любых данных.,140000,True,Testnet,testnet
InsurancePool,DeFi,Децентрализованный пул страхования DeFi-протоколов. Динамическое ценообразование. Выплаты в течение 24 часов.,90000,True,Testnet,testnet
GameFiWorld,Gaming,Метавселенная с играми Play-to-Earn и возможностью заработка NFT. Интеграция с основными блокчейнами. Собственная студия разработки игр. Дорожная карта на 3 года.,95000,False,Нет,no_mvp
BackupSolution,Storage,Автоматическое резервное копирование данных в децентрализованное хранилище. Планировщик и версионность. Шифрование на лету.,45000,True,Testnet,testnet
OracleNetwork,Infrastructure,Децентрализованная сеть оракулов с механизмом стохастической выборки. Гарантия достоверности данных. Низкие задержки.,80000,True,Рабочий прототип,working_prototype
NFTMarketGo,Marketplace,"P2P площадка для торговли NFT с продвинутыми инструментами оценки редкости. Уникальный алгоритм определения fair price и низкие комиссии 0.5%. Интеграция с основными кошельками и блокчейнами. Команда публична, включает известных NFT-художников.",60000,True,Рабочий прототип,working_prototype
RacingGame,Gaming,NFT-гонки с кастомизируемыми автомобилями. Заработок токенов за победы в заездах. Регулярные обновления трасс и машин.,65000,False,Нет,no_mvp
ScalabilityChain,Infrastructure,"Layer-2 решение для масштабирования Ethereum с уникальным консенсусным механизмом. Скорость до 10,000 TPS. Совместимость с EVM. Команда включает исследователей из топ-вузов.",120000,True,Рабочий прототип,working_prototype
RPGUniverse,Gaming,MMORPG с открытым миром и экономикой на блокчейне. Игроки владеют землей и ресурсами. Сложная система крафта и торговли.,130000,False,Нет,no_mvp
ArchiveNetwork,Storage,Долгосрочное архивное хранение данных с гарантией 99.999% доступности. Специализация на юридических и медицинских записях. Соответствие GDPR.,110000,True,Testnet,testnet
